month,optimism,uncertainty,taxes,labor_quality,inflation,labor_costs,poor_sales,insurance,regulations,competition,interest_rates
2016-06-01,94.5,77,23,15,2,6,11,7,19,9,2
2016-07-01,94.6,81,21,19,2,8,8,9,16,8,2
2016-08-01,94.4,87,21,15,2,9,11,8,20,7,2
2016-09-01,94.1,86,21,8,2,9,11,5,20,15,2
2016-10-01,94.9,88,21,15,1,5,11,10,21,8,2
2016-11-01,98.4,100,19,16,3,6,12,10,18,7,2
2016-12-01,105.8,85,21,12,2,5,12,8,19,9,2
2017-01-01,105.9,85,21,15,2,7,10,8,19,8,2
2017-02-01,105.3,86,22,17,1,5,12,10,15,9,2
2017-03-01,104.7,93,20,16,1,6,12,8,17,9,2
2017-04-01,104.5,83,21,16,2,6,10,9,17,9,2
2017-05-01,104.5,82,22,19,2,8,9,11,13,7,1
2017-06-01,103.6,83,22,15,1,7,10,9,19,8,1
2017-07-01,105.2,83,21,19,2,8,8,9,16,8,2
2017-08-01,105.3,81,20,19,1,7,9,11,16,8,2
2017-09-01,103.0,85,21,19,2,5,11,7,16,9,1
2017-10-01,103.8,80,21,20,2,6,10,11,14,7,2
2017-11-01,107.5,79,22,18,3,7,11,10,16,8,2
2017-12-01,104.9,80,21,19,2,6,8,10,16,9,1
2018-01-01,106.9,78,19,22,1,6,9,10,16,9,2
2018-02-01,107.6,81,15,22,2,6,11,15,15,10,2
2018-03-01,104.7,80,13,21,1,8,11,9,14,11,2
2018-04-01,104.8,80,18,22,1,7,8,10,13,10,2
2018-05-01,107.8,72,17,23,3,6,8,10,13,10,1
2018-06-01,107.2,78,16,21,2,7,8,11,14,9,2
2018-07-01,107.9,75,17,23,2,7,7,10,14,9,2
2018-08-01,108.8,74,15,25,2,8,7,9,13,8,2
2018-09-01,107.9,79,17,22,3,8,5,10,14,10,3
2018-10-01,107.4,83,16,23,2,9,7,9,14,9,2
2018-11-01,104.8,81,19,25,1,7,8,10,13,8,2
2018-12-01,104.4,79,13,23,1,7,9,13,14,10,3
2019-01-01,101.2,86,15,23,2,8,9,9,12,9,2
2019-02-01,101.7,85,15,22,2,10,9,8,14,10,2
2019-03-01,101.8,79,15,21,2,8,10,9,15,9,1
2019-04-01,103.5,78,16,24,1,8,9,9,15,9,2
2019-05-01,105.0,79,16,25,2,8,8,10,12,10,2
2019-06-01,103.3,87,18,21,2,10,7,10,13,9,2
2019-07-01,104.7,76,15,26,2,9,7,9,13,9,2
2019-08-01,103.1,80,14,27,1,9,9,10,14,8,2
2019-09-01,101.8,82,16,23,1,11,9,9,11,10,1
2019-10-01,102.4,78,15,25,2,10,8,9,13,10,1
2019-11-01,104.7,72,14,26,1,10,8,9,13,9,2
2019-12-01,102.7,80,17,23,1,7,6,10,15,11,2
2020-01-01,104.3,81,17,26,1,8,7,11,13,9,1
2020-02-01,104.5,80,14,25,1,8,7,12,13,10,2
2020-03-01,96.4,92,15,24,2,7,9,10,13,10,2
2020-04-01,90.9,75,15,15,1,8,19,8,10,8,2
2020-05-01,94.4,82,15,17,2,6,18,8,14,10,2
2020-06-01,100.6,81,19,19,1,8,17,8,14,8,1
2020-07-01,98.8,88,18,21,2,8,13,7,14,8,1
2020-08-01,100.2,90,17,21,1,9,15,8,11,9,2
2020-09-01,104.0,92,16,21,2,9,12,9,13,9,2
2020-10-01,104.0,98,17,22,2,8,13,8,14,9,1
2020-11-01,101.4,90,17,21,1,8,15,9,11,9,2
2020-12-01,95.9,82,21,21,2,6,13,8,14,8,1
2021-01-01,95.0,80,19,21,3,7,11,7,15,8,1
2021-02-01,95.8,75,18,24,2,9,11,6,15,8,1
2021-03-01,98.2,81,17,24,4,7,10,5,14,8,1
2021-04-01,99.8,80,19,24,6,8,8,6,13,7,1
2021-05-01,99.6,79,22,26,8,8,5,4,13,8,1
2021-06-01,102.5,83,18,26,13,8,7,5,11,6,1
2021-07-01,99.7,76,19,26,11,9,6,4,12,6,1
2021-08-01,100.1,69,16,28,13,8,6,10,12,5,1
2021-09-01,99.1,74,17,28,10,12,4,4,11,3,0
2021-10-01,98.2,67,17,24,16,10,5,5,11,0,1
2021-11-01,98.4,63,18,29,18,9,5,5,10,0,0
2021-12-01,98.9,72,14,25,22,13,5,3,10,0,0
2022-01-01,97.1,71,14,23,22,11,4,4,11,0,1
2022-02-01,95.7,73,15,22,26,11,4,5,8,0,0
2022-03-01,93.2,63,16,22,31,8,3,3,9,0,1
2022-04-01,93.2,69,14,23,32,8,4,4,8,0,1
2022-05-01,93.1,59,12,23,28,12,4,2,7,0,1
2022-06-01,89.5,55,11,23,34,8,4,3,8,3,1
2022-07-01,89.9,67,11,21,37,9,4,2,5,3,1
2022-08-01,91.8,74,15,26,29,10,3,4,4,3,1
2022-09-01,92.1,72,13,22,30,10,3,5,5,3,1
2022-10-01,91.3,72,12,23,33,10,3,2,5,3,1
2022-11-01,91.9,68,11,21,32,9,4,4,5,5,3
2022-12-01,89.8,71,11,23,32,8,4,5,6,5,3
2023-01-01,90.3,76,15,24,26,10,4,3,5,3,3
2023-02-01,90.9,71,13,21,28,12,4,5,5,4,2
2023-03-01,90.1,74,15,23,24,11,5,4,7,4,3
2023-04-01,89.0,72,14,24,23,9,5,4,6,4,4
2023-05-01,89.4,71,14,24,25,10,3,3,9,3,4
2023-06-01,91.0,76,15,24,24,8,5,5,8,3,2
2023-07-01,91.9,80,16,23,21,10,5,4,10,4,4
2023-08-01,91.3,77,17,24,23,8,5,5,8,4,2
2023-09-01,90.8,79,13,23,23,9,5,4,7,4,4
2023-10-01,90.7,76,13,23,22,9,5,5,9,4,5
2023-11-01,90.6,65,14,24,22,8,5,4,10,4,5
2023-12-01,91.9,71,17,20,23,9,5,5,7,5,5
2024-01-01,89.9,73,16,21,20,10,6,5,8,4,5
2024-02-01,89.4,76,13,16,23,11,7,6,10,4,4
2024-03-01,88.5,77,14,18,25,10,8,6,6,4,4
2024-04-01,89.7,78,15,19,22,11,7,5,8,4,4
2024-05-01,90.5,85,13,20,22,10,5,6,9,4,6
2024-06-01,91.5,82,14,19,21,11,6,3,10,5,3
2024-07-01,93.7,90,15,19,25,9,8,4,8,4,3
2024-08-01,91.2,92,13,21,24,9,8,6,8,5,4
2024-09-01,91.5,103,14,17,23,9,7,8,9,5,4
2024-10-01,93.7,110,16,20,23,8,9,7,8,5,3
2024-11-01,101.7,98,14,19,20,11,5,8,8,6,5
2024-12-01,105.1,86,15,19,20,11,7,7,8,4,4
2025-01-01,102.8,100,17,18,18,9,9,7,10,5,3
2025-02-01,100.7,104,16,19,16,12,9,7,6,7,3
2025-03-01,97.3,96,18,19,16,11,9,8,8,6,3
2025-04-01,95.8,92,16,19,14,8,9,10,9,7,3
2025-05-01,98.8,94,18,16,14,9,9,9,9,4,5
2025-06-01,98.5,89,19,16,11,10,10,8,9,7,3
2025-07-01,100.3,97,17,21,11,9,11,8,8,6,4
2025-08-01,100.8,93,17,21,11,8,10,9,9,5,4
2025-09-01,98.8,100,18,18,14,11,10,8,6,5,4
2025-10-01,98.2,88,16,27,12,8,10,8,7,5,2
2025-11-01,99.0,91,14,21,15,8,9,10,10,3,3
2025-12-01,99.5,84,20,19,12,9,10,9,7,6,3
2026-01-01,99.3,91,18,16,12,9,9,13,9,6,3
2026-02-01,98.8,88,19,15,12,9,11,9,9,8,4
2026-03-01,95.8,92,19,15,14,10,10,9,7,7,3
2026-04,95.9,88,17,18,16,9,10,8,8,7,3
